brand,model,price
Lexus,Rx,Rs.95.80 Lakh - 1.20 Cr
Lexus,Lx,Rs.2.84 Cr
Lotus,Eletre,Rs.2.55 - 2.99 Cr
Mahindra,Thar,Rs.11.35 - 17.60 Lakh
Mahindra,Scorpio,Rs.13.62 - 17.42 Lakh
Mahindra,Xuv700,Rs.13.99 - 26.99 Lakh
Mahindra,Xuv 3Xo,Rs.7.49 - 15.49 Lakh
Mahindra,Scorpio N,Rs.13.85 - 24.54 Lakh
Mahindra,Bolero,Rs.9.79 - 10.91 Lakh
Mahindra,Xuv300,Rs.7.99 - 14.76 Lakh
Mahindra,Bolero Neo,Rs.9.95 - 12.15 Lakh
Mahindra,Marazzo,Rs.14.59 - 17 Lakh
Mahindra,Xuv400 Ev,Rs.15.49 - 19.39 Lakh
Mahindra,Bolero Camper,Rs.10.26 - 10.61 Lakh
Mahindra,Bolero Pikup Extralong,Rs.8.85 - 9.12 Lakh
Mahindra,Bolero Maxitruck Plus,Rs.7.49 - 7.89 Lakh
Mahindra,Bolero Neo Plus,Rs.11.39 - 12.49 Lakh
Mahindra,Bolero Pikup Extrastrong,Rs.8.71 - 9.39 Lakh
Mahindra-Renault,Renault Logan,Rs.6.96 Lakh
Mahindra-Renault,Renault Logan Edge,Rs.7.20 Lakh
Maserati,Levante,Rs.1.49 - 1.64 Cr
Maserati,Ghibli,Rs.1.15 - 1.93 Cr
Maserati,Granturismo,Rs.2.25 - 2.51 Cr
Maserati,Quattroporte,Rs.1.71 - 2.12 Cr
Maserati,Grancabrio,Rs.2.46 - 2.69 Cr
Maybach,57 S,Rs.4.85 Cr
Maybach,62 S,Rs.5.10 Cr
Mazda,Miata,Rs.15.44 Lakh
Mazda,Rx 8,Rs.15.44 Lakh
Mclaren,Gt,Rs.4.50 Cr
Mclaren,750S,Rs.5.91 Cr
Mercedes-Benz,Gla,Rs.50.50 - 58.15 Lakh
Mercedes-Benz,Gls,Rs.1.32 - 2.96 Cr
Mercedes-Benz,C-Class,Rs.61.85 - 69 Lakh
Mercedes-Benz,E-Class,Rs.72.80 - 89.15 Lakh
Mercedes-Benz,Glc,Rs.75.90 - 76.90 Lakh
Mercedes-Benz,S-Class,Rs.1.77 - 1.86 Cr
Mercedes-Benz,Maybach Gls,Rs.3.35 Cr
Mercedes-Benz,Eqs,Rs.1.62 Cr
Mercedes-Benz,Gle,Rs.96.65 Lakh - 1.10 Cr
Mercedes-Benz,Amg Sl,Rs.2.44 Cr
Mercedes-Benz,Amg Gle 53,Rs.1.71 Cr
Mercedes-Benz,Eqe Suv,Rs.1.39 Cr
Mercedes-Benz,Amg C43,Rs.98.25 Lakh
Mercedes-Benz,Amg A 45 S,Rs.93.65 Lakh
Mercedes-Benz,Maybach S-Class,Rs.2.72 - 3.44 Cr
Mercedes-Benz,A-Class Limousine,Rs.46.05 - 48.55 Lakh
Mercedes-Benz,Glb,Rs.64.80 - 71.80 Lakh
Mercedes-Benz,G-Class,Rs.2.55 - 4 Cr
Mercedes-Benz,Eqb,Rs.77.75 Lakh
Mercedes-Benz,Amg E 53 Cabriolet,Rs.1.30 Cr
Mercedes-Benz,Amg Eqs,Rs.2.45 Cr
Mercedes-Benz,Amg Gla 35,Rs.58.50 Lakh
Mercedes-Benz,Amg Gt 4 Door Coupe,Rs.3.30 Cr
Mercedes-Benz,Amg S 63,Rs.3.30 - 3.80 Cr
Mg,Hector,Rs.13.99 - 22.24 Lakh
Mg,Astor,Rs.9.98 - 18.08 Lakh
Mg,Gloster,Rs.38.80 - 43.87 Lakh
Mg,Comet Ev,Rs.6.99 - 9.53 Lakh
Mg,Hector Plus,Rs.17.30 - 23.08 Lakh
Mg,Zs Ev,Rs.18.98 - 25.44 Lakh
Mini,Cooper 3 Door,Rs.42.70 Lakh
Mini,Cooper Countryman,Rs.48.10 - 49 Lakh
Mini,Cooper Se,Rs.53.50 Lakh
Mitsubishi,Cedia,Rs.9.80 Lakh
Mitsubishi,Challenger,Rs.20.25 Lakh
Mitsubishi,Fto,Rs.8.24 Lakh
Mitsubishi,Lancer,Rs.8.13 Lakh
Mitsubishi,Lancer Evolution X,Rs.49.95 Lakh
Mitsubishi,Montero 2007-2012,Rs.41.34 Lakh
Mitsubishi,Montero 2009-2014,Rs.41.34 Lakh
Mitsubishi,Montero,Rs.67.88 Lakh
Mitsubishi,Outlander,Rs.32 Lakh
Mitsubishi,Outlander 2007-2013,Rs.20.55 Lakh
Mitsubishi,Pajero 2002-2012,Rs.22 Lakh
Mitsubishi,Pajero Sport,Rs.30 Lakh
Morris,Hector,Rs.13.99 - 22.24 Lakh
Morris,Astor,Rs.9.98 - 18.08 Lakh
Morris,Gloster,Rs.38.80 - 43.87 Lakh
Morris,Comet Ev,Rs.6.99 - 9.53 Lakh
Morris,Hector Plus,Rs.17.30 - 23.08 Lakh
Morris,Zs Ev,Rs.18.98 - 25.44 Lakh
Nissan,Magnite,Rs.6 - 11.27 Lakh
Opel,Astra,Rs.80 Lakh
Opel,Vectra,Rs.16.75 Lakh
Opel,Corsa,Rs.6.22 Lakh
Peugeot,309,Rs.8 Lakh
Porsche,911,Rs.1.99 - 3.51 Cr
Porsche,Taycan,Rs.1.61 - 2.44 Cr
Porsche,Cayenne,Rs.1.36 - 2 Cr
Porsche,Macan,Rs.88.06 Lakh - 1.53 Cr
Porsche,Panamera,Rs.1.68 Cr
Porsche,718,Rs.1.48 - 2.74 Cr
Porsche,Macan Ev,Rs.1.65 Cr
Porsche,Cayenne Coupe,Rs.1.42 - 2.01 Cr
Premier,118 Ne,Rs.5.99 Lakh
Premier,138 D,Rs.6.50 Lakh
Premier,Padmini,Rs.1.95 Lakh
Premier,Rio 2009 2011,Rs.6.59 Lakh
Premier,Rio,Rs.7.24 Lakh
Renault,Kwid,Rs.4.70 - 6.45 Lakh
Renault,Triber,Rs.6 - 8.97 Lakh
Renault,Kiger,Rs.6 - 11.23 Lakh
Rolls-Royce,Phantom,Rs.8.99 - 10.48 Cr
Rolls-Royce,Ghost,Rs.6.95 - 7.95 Cr
Rolls-Royce,Spectre,Rs.7.50 Cr
Rolls-Royce,Cullinan,Rs.6.95 Cr
Sipani,Montego,Rs.13 Lakh
Skoda,Kushaq,Rs.10.89 - 18.79 Lakh
Skoda,Slavia,Rs.10.69 - 18.69 Lakh
Skoda,Superb,Rs.54 Lakh
Skoda,Kodiaq,Rs.39.99 Lakh
Studebaker,Champion,Rs.36 Lakh
Subaru,Impreza,Rs.32.65 Lakh
Tata,Punch,Rs.6.13 - 10.20 Lakh
Tata,Nexon,Rs.8 - 15.80 Lakh
Tata,Harrier,Rs.15.49 - 26.44 Lakh
Tata,Altroz,Rs.6.65 - 11.35 Lakh
Tata,Safari,Rs.16.19 - 27.34 Lakh
Tata,Tiago,Rs.5.65 - 8.90 Lakh
Tata,Altroz Racer,Rs.9.49 - 10.99 Lakh
Tata,Punch Ev,Rs.10.99 - 15.49 Lakh
Tata,Nexon Ev,Rs.14.49 - 19.49 Lakh
Tata,Tiago Ev,Rs.7.99 - 11.89 Lakh
Tata,Tigor,Rs.6.30 - 9.55 Lakh
Tata,Tigor Ev,Rs.12.49 - 13.75 Lakh
Tata,Tiago Nrg,Rs.6.70 - 8.80 Lakh
Tata,Yodha Pickup,Rs.6.95 - 7.50 Lakh
Toyota,Fortuner,Rs.33.43 - 51.44 Lakh
Toyota,Innova Crysta,Rs.19.99 - 26.55 Lakh
Toyota,Land Cruiser 300,Rs.2.10 Cr
Toyota,Taisor,Rs.7.74 - 13.04 Lakh
Toyota,Urban Cruiser Hyryder,Rs.11.14 - 20.19 Lakh
Toyota,Hilux,Rs.30.40 - 37.90 Lakh
Toyota,Camry,Rs.46.17 Lakh
Toyota,Vellfire,Rs.1.20 - 1.30 Cr
Toyota,Rumion,Rs.10.44 - 13.73 Lakh
Toyota,Fortuner Legender,Rs.43.66 - 47.64 Lakh
Toyota,Glanza,Rs.6.86 - 10 Lakh
Toyota,Innova Hycross,Rs.19.77 - 30.98 Lakh
Volkswagen,Virtus,Rs.11.56 - 19.41 Lakh
Volkswagen,Taigun,Rs.11.70 - 20 Lakh
Volkswagen,Tiguan,Rs.35.17 Lakh
Volvo,Xc90,Rs.1.01 Cr
Volvo,Xc60,Rs.68.90 Lakh
Volvo,S90,Rs.68.25 Lakh
Volvo,C40 Recharge,Rs.62.95 Lakh
Volvo,Xc40 Recharge,Rs.54.95 - 57.90 Lakh
